order_date,order_id,buyer_code,marketplace,product_id,product_category,order_quantity,price_unit,price_unit_vat,carrier,customer_postal,customer_destination
2019-01-02 10:01:20,1056568,130,TOKOPEDIA,70980,Outdoor,1," 81,681 "," 89,849 ",J&T REG,35364,Lampung
2019-01-02 10:01:20,1056568,130,TOKOPEDIA,70981,Outdoor,1," 81,681 "," 89,849 ",J&T REG,35364,Lampung
2019-01-02 10:01:20,1056568,130,TOKOPEDIA,64142,Lifestyle,1," 145,318 "," 159,850 ",J&T REG,35364,Lampung
2019-01-02 10:01:20,1056568,130,TOKOPEDIA,67975,Outdoor,1," 90,772 "," 99,849 ",J&T REG,35364,Lampung
2019-01-02 10:01:36,1056569,131,TOKOPEDIA,60412,Outdoor,1," 153,500 "," 168,850 ",JNE REG,16680,Jawa Barat
2019-01-02 10:01:36,1056569,131,TOKOPEDIA,60443,Outdoor,1," 133,500 "," 146,850 ",JNE REG,16680,Jawa Barat
2019-01-02 11:01:19,1056570,132,TOKOPEDIA,61532,Lifestyle,1," 331,681 "," 364,849 ",JNE REG,11620,DKI Jakarta
2019-01-02 11:01:43,1056572,133,TOKOPEDIA,71221,Outdoor,1," 158,954 "," 174,849 ",JNE REG,11150,DKI Jakarta
2019-01-02 11:01:43,1056572,133,TOKOPEDIA,64753,Outdoor,1," 90,772 "," 99,849 ",JNE REG,11150,DKI Jakarta
2019-01-02 11:01:33,1056573,134,TOKOPEDIA,68843,Work,1," 490,772 "," 539,849 ",JNE REG,12610,DKI Jakarta
2019-01-02 12:01:16,1057211,135,BUKALAPAK,63065,Outdoor,1," 158,954 "," 174,849 ",Tiki REG,43178,Jawa Barat
2019-01-02 12:01:45,1057212,136,BUKALAPAK,64138,Lifestyle,1," 386,227 "," 424,850 ",JNE REG,16830,Jawa Barat
